Plant_Number,PRODUCT,Model,FG CODE,DESCRIPTION
6061,TV,50,F01000053900,DAWLANCE EL-50FVHQ-60 Dawlance
6061,TV,50,F01000056900,DAWLANCE EL-50VH5Q-144 QLED Dawlance
6061,TV,55,F01000054400,DAWLANCE EL-55FVHQ-60 Dawlance
6061,TV,55,F01000056700,DAWLANCE EL-55VH5Q-144 QLED Dawlance
6061,TV,65,F01000056800,DAWLANCE EL-65VH5Q-144 QLED Dawlance
6061,TV,65,F01000054300,DAWLANCE EL-65FVHQ-60 Dawlance
6062,AWM-TL,255,F01000000149,AWM DWT 255 CLEAR LID (WHITE)
6062,AWM-TL,255,F01000000298,DWT 9060 EZ (SILVER)
6062,AWM-TL,255,F01000049500,DWT 9060 EZ Black Dawlance
6062,AWM-TL,260,F01000000110,AWM DWT 260 C LVS+  (CHAMPAGNE)
6062,AWM-TL,260,F01000000163,AWM DWT 260 S LVS+
6062,AWM-TL,260,F01000000246,AWM DWT 1165 PL
6062,AWM-TL,260,F01000015100,AWM DWT 1166 X ADS+
6062,AWM-TL,260,F01000022200,DWT 11467 ES
6062,AWM-TL,260,F01000022400,DWT 1167 FLP Dawlance
6062,AWM-TL,260,F01000021200,DWT 11671 FLT Dawlance
6062,AWM-TL,270,F01000000111,AWM DWT 270 C LVS+  (CHAMPAGNE)
6062,SAWM,6000,F01000052200,DS 6080 CB Dawlance
6062,AWM-TL,270,F01000000164,AWM DWT 270 S LVS+
6062,AWM-TL,270,F01000000247,AWM DWT 1470 PL
6062,AWM-TL,270,F01000025100,DWT 14470 ES Dawlance
6062,AWM-TL,255,F01000049400,DWT 9060 EZ PLATINUM
6062,AWM-TL,260,F01000057700,DWT 1580 INV C Glow Dawlance
6062,AWM-FL,7200,8783703600,DWF 7110 W
6062,AWM-FL,7200,8783813600,DWF 7120 INV
6062,AWM-FL,8200,8783823600,DWF 8110 INV
6062,AWM-TL,270,F01000028300,DWT-1471 FLP
6062,AWM-TL,270,F01000024800,DWT 14711 FLT Dawlance
6062,WD,1035,F01000036800,DBD-1035 Glass Door Dawlance
6062,WD,1051,F01000000102,WATER DISPENSER WD-1051 GBR CHAMPAGNE
6062,WD,1051,F01000000140,WATER DISPENSER WD-1051 SILVER
6062,WD,1051,F01000000245,WD-1051 CLOUD WHITE
6062,WD,1051,F01000023000,WD-1051 MAROON Dawlance
6062,WD,1051,F01000022900,WD-1051 BEIGE Dawlance
6062,WD,1051,F01000022800,WD-1051 RED Dawlance
6062,WD,1051,F01000054500,WD- 1051 HC WHITE W/O REF Dawlance
6062,WD,1051,F01000054600,WD- 1051 CN GREY W/O REF Dawlance
6062,WD,1051,F01000022700,WD-1051 NOIR RED Dawlance
6062,WD,1060,F01000000103,WATER DISPENSER WD- 1060 WGR CHAMPAGNE
6062,WD,1060,F01000000106,WATER DISPENSER WD- 1060 WBR SILVER
6062,WD,1060,F01000000281,WD-1060 WHITE W/O REF
6062,AWM-TL,1775,F01000057300,DWT 1776 FLT C Glow Dawlance
6062,AWM-TL,1775,F01000000248,AWM DWT 1775 PL
6062,SAWM,6000,F01000000053,SPINNER DS 6000 CLEAR LID (WHITE)
6062,SAWM,6000,F01000022300,DS 6010 CB Dawlance
6062,SAWM,6000,F01000042000,DS 6050
6062,SAWM,6100,F01000000052,WM DW-6100 WASHER CLEAR LID (WHITE)
6062,SAWM,6100,F01000000150,WM DW 6100 WASHER WHITE LID (WHITE)
6062,SAWM,6100,F01000018300,DW 7200 CB FL
6062,SAWM,6100,F01000038400,DW 6100 Green Lid 
